year,city,country,avg_temp
1841,Nanchang,China,16.58
1842,Nanchang,China,16.96
1843,Nanchang,China,17.06
1844,Nanchang,China,16.78
1845,Nanchang,China,16.81
1846,Nanchang,China,17.38
1847,Nanchang,China,17.13
1848,Nanchang,China,16.58
1849,Nanchang,China,16.91
1850,Nanchang,China,17.08
1851,Nanchang,China,17.04
1852,Nanchang,China,17.09
1853,Nanchang,China,17.51
1854,Nanchang,China,17.47
1855,Nanchang,China,17.10
1856,Nanchang,China,16.73
1857,Nanchang,China,17.18
1858,Nanchang,China,16.94
1859,Nanchang,China,17.19
1860,Nanchang,China,16.85
1861,Nanchang,China,16.83
1862,Nanchang,China,16.10
1863,Nanchang,China,16.72
1864,Nanchang,China,16.49
1865,Nanchang,China,17.36
1866,Nanchang,China,17.13
1867,Nanchang,China,17.45
1868,Nanchang,China,17.50
1869,Nanchang,China,17.54
1870,Nanchang,China,17.56
1871,Nanchang,China,17.61
1872,Nanchang,China,17.59
1873,Nanchang,China,17.27
1874,Nanchang,China,17.30
1875,Nanchang,China,17.18
1876,Nanchang,China,17.01
1877,Nanchang,China,17.07
1878,Nanchang,China,17.17
1879,Nanchang,China,17.55
1880,Nanchang,China,16.73
1881,Nanchang,China,17.15
1882,Nanchang,China,17.01
1883,Nanchang,China,16.77
1884,Nanchang,China,16.38
1885,Nanchang,China,16.46
1886,Nanchang,China,16.52
1887,Nanchang,China,17.05
1888,Nanchang,China,17.36
1889,Nanchang,China,17.07
1890,Nanchang,China,17.49
1891,Nanchang,China,17.34
1892,Nanchang,China,16.98
1893,Nanchang,China,16.73
1894,Nanchang,China,17.35
1895,Nanchang,China,16.90
1896,Nanchang,China,17.22
1897,Nanchang,China,17.17
1898,Nanchang,China,17.51
1899,Nanchang,China,17.18
1900,Nanchang,China,17.16
1901,Nanchang,China,17.03
1902,Nanchang,China,17.86
1903,Nanchang,China,17.00
1904,Nanchang,China,17.09
1905,Nanchang,China,16.67
1906,Nanchang,China,17.06
1907,Nanchang,China,17.17
1908,Nanchang,China,17.27
1909,Nanchang,China,17.42
1910,Nanchang,China,16.83
1911,Nanchang,China,16.94
1912,Nanchang,China,17.06
1913,Nanchang,China,17.04
1914,Nanchang,China,17.92
1915,Nanchang,China,17.49
1916,Nanchang,China,16.92
1917,Nanchang,China,16.84
1918,Nanchang,China,16.98
1919,Nanchang,China,17.59
1920,Nanchang,China,17.29
1921,Nanchang,China,17.39
1922,Nanchang,China,17.74
1923,Nanchang,China,17.68
1924,Nanchang,China,17.48
1925,Nanchang,China,17.58
1926,Nanchang,China,17.68
1927,Nanchang,China,17.67
1928,Nanchang,China,17.99
1929,Nanchang,China,17.63
1930,Nanchang,China,17.34
1931,Nanchang,China,17.10
1932,Nanchang,China,17.50
1933,Nanchang,China,17.35
1934,Nanchang,China,17.38
1935,Nanchang,China,17.79
1936,Nanchang,China,17.22
1937,Nanchang,China,17.58
1938,Nanchang,China,18.11
1939,Nanchang,China,17.59
1940,Nanchang,China,17.85
1941,Nanchang,China,18.01
1942,Nanchang,China,17.94
1943,Nanchang,China,17.77
1944,Nanchang,China,17.58
1945,Nanchang,China,17.74
1946,Nanchang,China,18.47
1947,Nanchang,China,17.70
1948,Nanchang,China,17.91
1949,Nanchang,China,18.06
1950,Nanchang,China,17.81
1951,Nanchang,China,17.68
1952,Nanchang,China,17.62
1953,Nanchang,China,17.93
1954,Nanchang,China,17.32
1955,Nanchang,China,17.57
1956,Nanchang,China,17.24
1957,Nanchang,China,17.28
1958,Nanchang,China,17.63
1959,Nanchang,China,17.90
1960,Nanchang,China,17.85
1961,Nanchang,China,18.26
1962,Nanchang,China,17.78
1963,Nanchang,China,18.33
1964,Nanchang,China,17.89
1965,Nanchang,China,17.65
1966,Nanchang,China,18.01
1967,Nanchang,China,17.52
1968,Nanchang,China,17.88
1969,Nanchang,China,17.28
1970,Nanchang,China,17.21
1971,Nanchang,China,17.53
1972,Nanchang,China,17.34
1973,Nanchang,China,17.76
1974,Nanchang,China,17.57
1975,Nanchang,China,17.58
1976,Nanchang,China,17.23
1977,Nanchang,China,17.57
1978,Nanchang,China,18.16
1979,Nanchang,China,18.15
1980,Nanchang,China,17.36
1981,Nanchang,China,17.45
1982,Nanchang,China,17.59
1983,Nanchang,China,17.89
1984,Nanchang,China,16.96
1985,Nanchang,China,17.49
1986,Nanchang,China,17.72
1987,Nanchang,China,17.91
1988,Nanchang,China,17.57
1989,Nanchang,China,17.62
1990,Nanchang,China,18.21
1991,Nanchang,China,17.74
1992,Nanchang,China,17.75
1993,Nanchang,China,17.43
1994,Nanchang,China,18.08
1995,Nanchang,China,17.74
1996,Nanchang,China,17.60
1997,Nanchang,China,17.84
1998,Nanchang,China,18.82
1999,Nanchang,China,18.20
2000,Nanchang,China,17.89
2001,Nanchang,China,18.16
2002,Nanchang,China,18.43
2003,Nanchang,China,18.50
2004,Nanchang,China,18.54
2005,Nanchang,China,18.15
2006,Nanchang,China,18.48
2007,Nanchang,China,18.79
2008,Nanchang,China,18.26
2009,Nanchang,China,18.54
2010,Nanchang,China,18.22
2011,Nanchang,China,18.02
2012,Nanchang,China,17.75
2013,Nanchang,China,19.68
